confidence,context_source,doi_url,existing_abstract,existing_key_metrics_output,existing_particle_size_range,matched_item_id,matched_item_key,pdf,proposed_abstract,proposed_key_metrics_output,proposed_particle_size_range,proposed_pdf_available_zotero,proposed_reviewed,response_json,row,short_citation,source_url,status,url_cache,url_context_source
,,https://doi.org/10.3390/su12219074,,,,,,,,,,,,,159,"Thomas et al., 2020",https://doi.org/10.3390/su12219074,no_zotero_match,,url_scrape_failed: HTTP Error 403: Forbidden
high,zotero_abstractNote,https://doi.org/10.1186/s43591-024-00083-9,,,,249,Z9KXQC6M,C:\Users\Scott.Coffin\Zotero\storage\YE6ZL5VV\Vanavermaete et al. - 2024 - Plastics in biota technological readiness level of current methodologies.pdf,"Plastics are persistent in the environment and may be ingested by organisms where they may cause physical harm or release plastic additives. Monitoring is a crucial mechanism to assess the risk of plastics to the marine and terrestrial ecosystem. Unfortunately, due to unharmonised procedures, it remains difficult to compare the results of different studies. This publication, as part of the Horizon project EUROqCHARM, aims to identify the properties of the available analytical processes and methods for the determination of plastics in biota. Based on a systematic review, reproducible analytical pipelines were examined and the technological readiness levels were assessed so that these methods may eventually (if not already) be incorporated into (harmonised) monitoring programs where biota are identified as indicators of plastic pollution.","technological readiness level assessment, analytical pipeline reproducibility, method harmonization for plastic detection in biota",,Yes,Yes,C:\Users\Scott.Coffin\Documents\Claude\Projects\Quality Manuscript\methods_navigator\metadata_cache\responses\row_160_Z9KXQC6M.json,160,"Vanavermaete et al., 2024",https://doi.org/10.1186/s43591-024-00083-9,llm_ok,,
high,pdf_first_300_lines,https://www.who.int/publications/i/item/9789240054608,,,,283,EN864586,C:\Users\Scott.Coffin\Zotero\storage\9UM7ZD3J\Gouin et al. - 2022 - Dietary and inhalation exposure to nano-and microplastic particles and potential implications for hu.pdf,"WHO report assessing dietary and inhalation exposure to nano- and microplastic particles and their potential health implications. The document reviews occurrence of nano- and microplastics in drinking water, air, food, and dermal exposure pathways; examines dosimetry and biokinetics; evaluates toxicological effects; and considers nano- and microplastics as vectors for chemical and pathogenic exposure.","exposure assessment, occurrence in drinking water, air, food, dermal exposure, dosimetry, biokinetics, toxicological effects, chemical vectors, pathogen vectors",nano- and microplastic particles (no specific bounds provided in excerpt),Yes,Yes,C:\Users\Scott.Coffin\Documents\Claude\Projects\Quality Manuscript\methods_navigator\metadata_cache\responses\row_161_EN864586.json,161,"Gouin et al., 2022a",https://www.who.int/publications/i/item/9789240054608,llm_ok,,
high,zotero_abstractNote,https://doi.org/10.1186/s12989-024-00599-1,,,,282,U4VYDDZD,"C:\Users\Scott.Coffin\Zotero\storage\ETSSBH3T\Gouin et al. - 2024 - Addressing the relevance of polystyrene nano- and microplastic particles used to support exposure, t.pdf","There has been an exponential increase in the number of studies reporting on the toxicological effects associated with exposure to nano and microplastic particles (NMPs). The majority of these studies, however, have used monodispersed polystyrene microspheres (PSMs) as ‘model’ particles. Here we review the differences between the manufacture and resulting physicochemical properties of polystyrene used in commerce and the PSMs most commonly used in toxicity studies.","physicochemical properties, toxicological effects, particle characterization",nano- and microplastic particles (NMPs),Yes,Yes,C:\Users\Scott.Coffin\Documents\Claude\Projects\Quality Manuscript\methods_navigator\metadata_cache\responses\row_162_U4VYDDZD.json,162,"Gouin et al., 2024",https://doi.org/10.1186/s12989-024-00599-1,llm_ok,,
high,zotero_abstractNote,https://doi.org/10.1016/j.hazadv.2025.100942,,,,279,ESLWHWEW,C:\Users\Scott.Coffin\Zotero\storage\92AMXTDP\Kennedy et al. - 2026 - Trends in quality and risk assessment applicability of microplastic ecotoxicity studies.pdf,"The Toxicity of Microplastics Explorer 2.0 (ToMEx 2.0) aquatic organism database contains 286 microplastic ecotoxicity studies that have been scored for quality and applicability to risk assessment. The overall reporting quality of microplastic effects studies was assessed, and the relationships between quality scores and various factors, including time, taxonomic group were evaluated. Data uploaded into ToMEx were first evaluated against quality assurance and quality control criteria for the requirements of the database. Each study was given at least three total scores related to: technical quality, applicability to risk assessment, and overall study quality, which is the sum of scores for all criteria. While most studies reliably reported technical criteria, the majority of studies were not rated as applicable to risk assessment. Overall, study quality scores and reporting of technical criteria have not changed over time. However, a weak but significant decline in applicability to risk assessment was observed over time. Additionally, there was a weak, significant positive trend between study quality score and journal impact factors, but no significant correlation between study quality and whether a study found a significant effect. Quality scores varied significantly depending on species, with fish studies generally having lower risk applicability criteria scores and studies with crustaceans, molluscs, and annelids generally having higher scores. This analysis highlights uncertainties underlying the current state of knowledge regarding microplastic ecotoxicity, data gaps in the microplastic ecotoxicity literature, and provides a framework for assessing aggregated microplastic ecotoxicity data quality and their applicability to risk assessment.","technical quality scores, risk assessment applicability scores, overall study quality scores, taxonomic group comparisons, journal impact factor correlation",,Yes,Yes,C:\Users\Scott.Coffin\Documents\Claude\Projects\Quality Manuscript\methods_navigator\metadata_cache\responses\row_163_ESLWHWEW.json,163,"Kennedy et al., 2025",https://doi.org/10.1016/j.hazadv.2025.100942,llm_ok,,
high,pdf_first_300_lines,https://doi.org/10.3390/ijms27010399,,,,274,WPW424U3,"C:\Users\Scott.Coffin\Zotero\storage\QKWXT4LB\Kovacs et al. - 2025 - Microplastics, Endocrine Disruptors, and Oxidative Stress Mechanisms and Health Implications.pdf","This review synthesizes evidence on how microplastics and nanoplastics, along with associated endocrine-disrupting chemicals (BPA, phthalates), contribute to oxidative stress and endocrine disruption across multiple organ systems. Microplastics (<5 mm) and nanoplastics (<1 µm) are now ubiquitous environmental contaminants detected in human blood, placenta, lung tissue, breast milk, and multiple organs. The review examines oxidative stress as a central mechanism of toxicity, including cellular uptake, reactive oxygen species generation, mitochondrial dysfunction, and impairment of antioxidant defenses. Pharmacological antioxidant interventions (N-acetylcysteine) attenuate microplastic-induced toxicity, supporting oxidative stress as an upstream trigger. Organ-specific effects on reproductive health, cardiovascular function, hepatic metabolism, gut barrier integrity, and neurological systems are discussed. The review identifies research gaps needed to improve human risk assessment and develop targeted interventions.","Oxidative stress markers (ROS generation, lipid peroxidation, antioxidant enzyme activity), mitochondrial dysfunction, inflammatory responses, endocrine disruption (BPA, phthalate leaching), organ-specific toxicity (reproductive, cardiovascular, hepatic, neurological), bioaccumulation in human tissues",<5 mm (microplastics); <1 µm (nanoplastics); human tissue detection ranges from ≥700 nm to 5–500 µm depending on tissue and method,Yes,Yes,C:\Users\Scott.Coffin\Documents\Claude\Projects\Quality Manuscript\methods_navigator\metadata_cache\responses\row_164_WPW424U3.json,164,"Kovacs et al., 2025",https://doi.org/10.3390/ijms27010399,llm_ok,,
high,zotero_abstractNote,https://doi.org/10.1177/07482337231203053,,,,272,TJ7ZZFRU,,"Good mechanical properties and low costs have led to a global expansion of plastic production and use. Unfortunately, much of this material can be released into the environment as a waste product and cleaved into micro- and nanoplastics (NPs) whose impact on the environment and human health is still largely unknown. Considering the growing worldwide awareness on exposure to chemicals that can act as endocrine disruptors, a systematic review was performed to assess the impact of NPs on the endocrine function of in vitro and in vivo models. Although a limited number of investigations is currently available, retrieved findings showed that NPs may induce changes in endocrine system functionality, with evident alterations in reproductive and thyroid hormones and gene expression patterns, also with a trans-generational impact. Nanoplastic size, concentration, and the co-exposure to other endocrine disrupting pollutants may have an influencing role on these effects. Overall, although it is still too early to draw conclusions regarding the human health risks derived from NPs, these preliminary results support the need for further studies employing a wider range of plastic polymer types, concentrations, and time points as well as species and life stages to address a great variety of endocrine outcomes and to achieve a broader and shared consensus on the role of NPs as endocrine disruptors.","endocrine system functionality, reproductive hormones, thyroid hormones, gene expression patterns",,No,Yes,C:\Users\Scott.Coffin\Documents\Claude\Projects\Quality Manuscript\methods_navigator\metadata_cache\responses\row_165_TJ7ZZFRU.json,165,"Leso et al., 2023",https://doi.org/10.1177/07482337231203053,llm_ok,,
high,zotero_abstractNote,https://doi.org/10.1136/thx.30.2.204,,,,262,QHNQKVE7,,"Seven patients exposed to the inhalation of synthetic fibres presented with various bronchopulmonary diseases, such as asthma, extrinsic allergic alveolitis, chronic bronchitis with bronchiectasis, spontaneous pneumothorax, and chronic pneumonia. The histological features are described and an attempt has been made to set up immunological techniques for the diagnosis. A series of histochemical techniques, based on textile chemistry, are proposed for the identification of the inclusions found in bronchopulmonary lesions. The results of the experimental production of the disease in guinea-pigs by the inhalation of synthetic fibre dusts are presented. The prognosis of these cases is good in the acute or recently established cases but is poor when widespread and irreversible fibrosis has set in. The authors consider that pulmonary disease due to inhaled particles is probably set off by an individual factor, possibly immunological.","Histological features, immunological diagnosis techniques, histochemical identification of fibre inclusions in bronchopulmonary lesions, disease prognosis",,No,Yes,C:\Users\Scott.Coffin\Documents\Claude\Projects\Quality Manuscript\methods_navigator\metadata_cache\responses\row_166_QHNQKVE7.json,166,"Pimentel et al., 1975",https://doi.org/10.1136/thx.30.2.204,llm_ok,,
high,zotero_abstractNote,https://doi.org/10.1186/s12989-024-00581-x,,,,361,GQAWB5NK,C:\Users\Scott.Coffin\Zotero\storage\DNCCHMAD\Wright et al. - 2024 - Micro- and nanoplastics concepts for particle and fibre toxicologists.pdf,"Abstract
            Micro- and nanoplastic particles (MNP) are omnipresent as either pollution or intentionally used in consumer products, released from packaging or even food. There is an exponential increase in the production of plastics. With the realization of bioaccumulation in humans, toxicity research is quickly expanding. There is a rapid increase in the number of papers published on the potential implications of exposure to MNP which necessitates a call for quality criteria to be applied when doing the research. At present, most papers on MNP describe the effects of commercially available polymer (mostly polystyrene) beads that are typically not the MNP of greatest concern. This is not a fault of the research community, necessarily, as the MNPs to which humans are exposed are usually not available in the quantities needed for toxicological research and innovations are needed to supply environmentally-relevant MNP models. In addition, like we have learned from decades of research with particulate matter and engineered nanomaterials, sample physicochemical characteristics and preparation can have major impacts on the biological responses and interpretation of the research findings. Lastly, MNP dosimetry may pose challenges as (1) we are seeing early evidence that plastics are already in the human body at quite high levels that may be difficult to achieve in acute in vitro studies and (2) plastics are already in the diets fed to preclinical models. This commentary highlights the pitfalls and recommendations for particle and fibre toxicologists that should be considered when performing and disseminating the research.",Toxicological endpoints; physicochemical characteristics; polymer type; dosimetry; bioaccumulation in humans,,Yes,Yes,C:\Users\Scott.Coffin\Documents\Claude\Projects\Quality Manuscript\methods_navigator\metadata_cache\responses\row_167_GQAWB5NK.json,167,"Wright et al., 2024b",https://doi.org/10.1186/s12989-024-00581-x,llm_ok,,
high,zotero_abstractNote,https://doi.org/10.1021/acs.est.0c02982,,,,277,MHSJSZYU,C:\Users\Scott.Coffin\Zotero\storage\PLTKZBDE\Koelmans et al. - 2020 - Solving the Nonalignment of Methods and Approaches Used in Microplastic Research to Consistently Cha.pdf,"The lack of standard approaches in microplastic research limits progress in the abatement of plastic pollution. Here, we propose and test rescaling methods that are able to improve the alignment of methods used in microplastic research. We describe a method to correct for the differences in size ranges as used by studies reporting microplastic concentrations and demonstrate how this reduces the variation in aqueous-phase concentrations caused by method differences. We provide a method to interchange between number, volume, and mass concentrations using probability density functions that represent environmental microplastic. Finally, we use this method to correct for the incompatibility of data as used in current species sensitivity distributions (SSDs), caused by differences in the microplastic types used in effect studies and those in nature. We derived threshold effect concentrations from such a corrected SSD for freshwater species. Comparison of the rescaled exposure concentrations and threshold effect concentrations reveals that the latter would be exceeded for 1.5% of the known surface water exposure concentrations worldwide. Altogether, this toolset allows us to correct for the diversity of microplastic, to address it in a common language, and to assess its risks as one environmental material.","number, volume, and mass concentrations; threshold effect concentrations; species sensitivity distributions (SSDs); exposure concentrations",,Yes,Yes,C:\Users\Scott.Coffin\Documents\Claude\Projects\Quality Manuscript\methods_navigator\metadata_cache\responses\row_168_MHSJSZYU.json,168,"Koelmans et al., 2020",https://doi.org/10.1021/acs.est.0c02982,llm_ok,,
high,zotero_abstractNote,https://doi.org/10.1021/acs.estlett.9b00379,,,0.1 µm – 5 mm (MP); 1–100 nm (NP),7755,JDR43TR8,"C:\Users\Scott.Coffin\Zotero\storage\K8HHDI9D\Kooi and Koelmans - 2019 - Simplifying Microplastic via Continuous Probability Distributions for Size, Shape, and Density.pdf","Because of their diverse sizes, shapes, and densities, environmental microplastics are often perceived as complex. Many studies struggle with this complexity and either address only a part of this diversity or present data using discrete classiﬁcations for sizes, shapes, and densities. We argue that such classiﬁcations will never be fully satisfactory, as any deﬁnition using classes does not capture the essentially continuous nature of environmental microplastic. Therefore, we propose to simplify microplastics by fully deﬁning them through a three-dimensional (3D) probability distribution, with size, shape, and density as dimensions. In addition to introducing the concept, we parametrize these probability distributions, using empirical data. This parametrization results in an approximate yet realistic representation of “true” environmental microplastic. This approach to simplifying microplastic could be applicable to exposure measurements, eﬀect studies, and fate modeling. Furthermore, it allows for easy comparison between studies, irrespective of sampling or laboratory setup. We demonstrate how the 3D probability distribution of environmental versus ingested microplastic can be helpful in understanding the bioavailability of and exposure to microplastic. We argue that the concept of simpliﬁed microplastic will also be helpful in probabilistic risk modeling, which would greatly enhance our understanding of the risk that microplastics pose to the environment.","Size, shape, density; probability distributions; bioavailability; exposure characterization",0.1 µm – 5 mm,Yes,Yes,C:\Users\Scott.Coffin\Documents\Claude\Projects\Quality Manuscript\methods_navigator\metadata_cache\responses\row_169_JDR43TR8.json,169,"Kooi & Koelmans, 2019",https://doi.org/10.1021/acs.estlett.9b00379,llm_ok,,
high,pdf_first_300_lines,https://doi.org/10.2139/ssrn.5957574,,,,48258,IMZAL8Y8,C:\Users\Scott.Coffin\Zotero\storage\VJVZR5FH\Koelmans et al. - 2025 - Towards Regulatory Readiness Evaluating Frameworks for Microplastic Health Risk Assessment.pdf,"This perspective evaluates six established human health risk assessment frameworks (RAFs) for micro- and nanoplastics (MNPs) to assess their technological and regulatory readiness. The authors propose nine technical criteria that RAFs should meet to inform policy, including quantifiability of outputs, systematic evaluation of input data quality, consistency between exposure and effect data, addressing complexity and diversity of environmentally realistic microplastics, readiness for integration into existing regulatory approaches, and real-world implementation status. The paper discusses strengths of each framework and recommends combining them into a single overarching framework that integrates these strengths to support comprehensive human health risk assessment and governance of MNPs.",Risk assessment framework evaluation; hazard identification; exposure assessment; risk characterization; toxicologically relevant metrics; weight of evidence approach,Micro- and nanoplastics (MNPs); specific size ranges not quantified in provided context,Yes,Yes,C:\Users\Scott.Coffin\Documents\Claude\Projects\Quality Manuscript\methods_navigator\metadata_cache\responses\row_170_IMZAL8Y8.json,170,"Koelmans et al., 2025a",https://doi.org/10.2139/ssrn.5957574,llm_ok,,
high,zotero_abstractNote,https://doi.org/10.21105/joss.06715,,,,1239,W6BT9T3R,C:\Users\Scott.Coffin\Zotero\storage\JJNP4LCQ\Sherrod et al. - 2024 - One4All An Open Source Portal to Validate and ShareMicroplastics Data and Beyond.pdf,"Microplastics are a diverse suite of contaminants (Rochman et al., 2019) requiring a variety of data types to capture particle characteristics and study methodologies (Division of Drinking Water, State Water Resources Control Board, State of California, 2022; Jenkins et al., 2022). Data sharing is critical to advance science and policy (Coffin, 2023). The One4All portal was created to harmonize and share structured and unstructured microplastic data (and beyond) through validation. Validated data can be automatically uploaded to the following cloud services: Amazon S3, CKAN, and/or MongoDB. One4All is both a graphical user interface (GUI) and an R package. The tools are general-purpose and can be used for applications outside of microplastics. This manuscript provides information about the usage, workflow, and configuration of One4All, emphasizing its adaptability for diverse purposes.","particle characteristics, data validation, structured and unstructured microplastic data harmonization",,Yes,Yes,C:\Users\Scott.Coffin\Documents\Claude\Projects\Quality Manuscript\methods_navigator\metadata_cache\responses\row_171_W6BT9T3R.json,171,"Sherrod et al., 2024",https://doi.org/10.21105/joss.06715,llm_ok,,
,,,,,,,,,,,,,,,172,,,no_zotero_match,,none
,,,,,,,,,,,,,,,173,,,no_zotero_match,,none
,,,,,,,,,,,,,,,174,,,no_zotero_match,,none
,,,,,,,,,,,,,,,175,,,no_zotero_match,,none
,,,,,,,,,,,,,,,176,,,no_zotero_match,,none
,,,,,,,,,,,,,,,177,,,no_zotero_match,,none
,,,,,,,,,,,,,,,178,,,no_zotero_match,,none
,,,,,,,,,,,,,,,179,,,no_zotero_match,,none
,,,,,,,,,,,,,,,180,,,no_zotero_match,,none
,,,,,,,,,,,,,,,181,,,no_zotero_match,,none
,,,,,,,,,,,,,,,182,,,no_zotero_match,,none
,,,,,,,,,,,,,,,183,,,no_zotero_match,,none
,,,,,,,,,,,,,,,184,,,no_zotero_match,,none
,,,,,,,,,,,,,,,185,,,no_zotero_match,,none
,,,,,,,,,,,,,,,186,,,no_zotero_match,,none
,,,,,,,,,,,,,,,187,,,no_zotero_match,,none
,,,,,,,,,,,,,,,188,,,no_zotero_match,,none
,,,,,,,,,,,,,,,189,,,no_zotero_match,,none
,,,,,,,,,,,,,,,190,,,no_zotero_match,,none
,,,,,,,,,,,,,,,191,,,no_zotero_match,,none
,,,,,,,,,,,,,,,192,,,no_zotero_match,,none
,,,,,,,,,,,,,,,193,,,no_zotero_match,,none
,,,,,,,,,,,,,,,194,,,no_zotero_match,,none
,,,,,,,,,,,,,,,195,,,no_zotero_match,,none
,,,,,,,,,,,,,,,196,,,no_zotero_match,,none
,,,,,,,,,,,,,,,197,,,no_zotero_match,,none
,,,,,,,,,,,,,,,198,,,no_zotero_match,,none
,,,,,,,,,,,,,,,199,,,no_zotero_match,,none
,,,,,,,,,,,,,,,200,,,no_zotero_match,,none
,,,,,,,,,,,,,,,201,,,no_zotero_match,,none
,,,,,,,,,,,,,,,202,,,no_zotero_match,,none
,,,,,,,,,,,,,,,203,,,no_zotero_match,,none
,,,,,,,,,,,,,,,204,,,no_zotero_match,,none
,,,,,,,,,,,,,,,205,,,no_zotero_match,,none
,,,,,,,,,,,,,,,206,,,no_zotero_match,,none
,,,,,,,,,,,,,,,207,,,no_zotero_match,,none
,,,,,,,,,,,,,,,208,,,no_zotero_match,,none
,,,,,,,,,,,,,,,209,,,no_zotero_match,,none
,,,,,,,,,,,,,,,210,,,no_zotero_match,,none
,,,,,,,,,,,,,,,211,,,no_zotero_match,,none
,,,,,,,,,,,,,,,212,,,no_zotero_match,,none
,,,,,,,,,,,,,,,213,,,no_zotero_match,,none
,,,,,,,,,,,,,,,214,,,no_zotero_match,,none
,,,,,,,,,,,,,,,215,,,no_zotero_match,,none
,,,,,,,,,,,,,,,216,,,no_zotero_match,,none
,,,,,,,,,,,,,,,217,,,no_zotero_match,,none
,,,,,,,,,,,,,,,218,,,no_zotero_match,,none
,,,,,,,,,,,,,,,219,,,no_zotero_match,,none
,,,,,,,,,,,,,,,220,,,no_zotero_match,,none
,,,,,,,,,,,,,,,221,,,no_zotero_match,,none
,,,,,,,,,,,,,,,222,,,no_zotero_match,,none
,,,,,,,,,,,,,,,223,,,no_zotero_match,,none
,,,,,,,,,,,,,,,224,,,no_zotero_match,,none
,,,,,,,,,,,,,,,225,,,no_zotero_match,,none
,,,,,,,,,,,,,,,226,,,no_zotero_match,,none
,,,,,,,,,,,,,,,227,,,no_zotero_match,,none
,,,,,,,,,,,,,,,228,,,no_zotero_match,,none
,,,,,,,,,,,,,,,229,,,no_zotero_match,,none
,,,,,,,,,,,,,,,230,,,no_zotero_match,,none
,,,,,,,,,,,,,,,231,,,no_zotero_match,,none
,,,,,,,,,,,,,,,232,,,no_zotero_match,,none
,,,,,,,,,,,,,,,233,,,no_zotero_match,,none
,,,,,,,,,,,,,,,234,,,no_zotero_match,,none
,,,,,,,,,,,,,,,235,,,no_zotero_match,,none
,,,,,,,,,,,,,,,236,,,no_zotero_match,,none
,,,,,,,,,,,,,,,237,,,no_zotero_match,,none
,,,,,,,,,,,,,,,238,,,no_zotero_match,,none
,,,,,,,,,,,,,,,239,,,no_zotero_match,,none
,,,,,,,,,,,,,,,240,,,no_zotero_match,,none
,,,,,,,,,,,,,,,241,,,no_zotero_match,,none
,,,,,,,,,,,,,,,242,,,no_zotero_match,,none
,,,,,,,,,,,,,,,243,,,no_zotero_match,,none
,,,,,,,,,,,,,,,244,,,no_zotero_match,,none
,,,,,,,,,,,,,,,245,,,no_zotero_match,,none
,,,,,,,,,,,,,,,246,,,no_zotero_match,,none
,,,,,,,,,,,,,,,247,,,no_zotero_match,,none
,,,,,,,,,,,,,,,248,,,no_zotero_match,,none
,,,,,,,,,,,,,,,249,,,no_zotero_match,,none
